Fichier, Temps Naif (µs), Temps Welzl (µs)
test-1335.points, 90226, 43
test-1336.points, 118940, 40
test-1337.points, 96575, 15
test-1338.points, 87672, 33
test-1339.points, 101901, 31
test-134.points, 101350, 25
test-1340.points, 88127, 18
test-1341.points, 113747, 37
test-1342.points, 96494, 31
test-1343.points, 89546, 12
test-1344.points, 89658, 23
test-1345.points, 89732, 15
test-1346.points, 102380, 13
test-1347.points, 105557, 21
test-1348.points, 94168, 20
test-1349.points, 122086, 45
test-135.points, 90825, 30
test-1350.points, 97165, 19
test-1351.points, 89146, 22
test-1352.points, 88614, 38
test-1353.points, 125517, 46
test-1354.points, 93270, 39
test-1355.points, 108696, 21
test-1356.points, 102176, 24
test-1357.points, 111781, 15
test-1358.points, 116221, 14
test-1359.points, 109474, 16
test-136.points, 125808, 22
test-1360.points, 85894, 25
test-1361.points, 129581, 38
test-1362.points, 100208, 19
test-1363.points, 102255, 18
test-1364.points, 130575, 73
test-1365.points, 104390, 11
test-1366.points, 129127, 27
test-1367.points, 92702, 44
test-1368.points, 132817, 36
test-1369.points, 88361, 11
test-137.points, 108742, 42
test-1370.points, 94603, 13
test-1371.points, 123278, 31
test-1372.points, 121274, 16
test-1373.points, 108674, 15
test-1374.points, 95249, 27
test-1375.points, 113545, 26
test-1376.points, 144208, 31
test-1377.points, 88475, 12
test-1378.points, 99020, 37
test-1379.points, 129884, 20
test-138.points, 117685, 34
test-1380.points, 130789, 24
test-1381.points, 112577, 20
test-1382.points, 125771, 43
test-1383.points, 107683, 24
test-1384.points, 97827, 17
test-1385.points, 100565, 33
test-1386.points, 106468, 13
test-1387.points, 106083, 23
test-1388.points, 101893, 32
test-1389.points, 100426, 38
test-139.points, 139639, 20
test-1390.points, 100732, 13
test-1391.points, 91288, 14
test-1392.points, 101057, 26
test-1393.points, 97027, 19
test-1394.points, 108794, 39
test-1395.points, 102572, 24
test-1396.points, 92590, 12
test-1397.points, 88478, 14
test-1398.points, 93525, 34
test-1399.points, 109471, 27
test-14.points, 102552, 24
test-140.points, 114314, 31
test-1400.points, 114196, 18
test-1401.points, 106038, 14
test-1402.points, 114893, 23
test-1403.points, 101899, 10
test-1404.points, 88267, 23
test-1405.points, 110634, 19
test-1406.points, 83237, 23
test-1407.points, 90802, 23
test-1408.points, 119610, 38
test-1409.points, 109682, 21
test-141.points, 126547, 20
test-1410.points, 108570, 26
test-1411.points, 111201, 29
test-1412.points, 108913, 19
test-1413.points, 100876, 16
test-1414.points, 110679, 26
test-1415.points, 101807, 29
test-1416.points, 120455, 26
test-1417.points, 86945, 19
test-1418.points, 100290, 34
test-1419.points, 100737, 44
test-142.points, 132642, 15
test-1420.points, 102730, 15
test-1421.points, 138472, 22
test-1422.points, 91893, 30
test-1423.points, 100755, 12
test-1424.points, 99788, 27
test-1425.points, 129766, 48
test-1426.points, 89499, 29
test-1427.points, 124513, 22
test-1428.points, 102058, 15
test-1429.points, 119180, 30
test-143.points, 96787, 24
test-1430.points, 118231, 30
test-1431.points, 83862, 16
test-1432.points, 137590, 36
test-1433.points, 108181, 27
test-1434.points, 111836, 24
test-1435.points, 144174, 21
test-1436.points, 92483, 31
test-1437.points, 110615, 24
test-1438.points, 88596, 16
test-1439.points, 113126, 43
test-144.points, 131921, 18
test-1440.points, 129444, 23
test-1441.points, 112843, 21
test-1442.points, 116919, 42
test-1443.points, 106127, 19
test-1444.points, 105515, 19
test-1445.points, 115659, 28
test-1446.points, 113483, 21
test-1447.points, 132423, 38
test-1448.points, 104481, 42
test-1449.points, 93495, 18
test-145.points, 87369, 26
test-1450.points, 100048, 33
test-1451.points, 92509, 16
test-1452.points, 89721, 17
test-1453.points, 107745, 21
test-1454.points, 102230, 17
test-1455.points, 128683, 43
test-1456.points, 105725, 21
test-1457.points, 110703, 25
test-1458.points, 104285, 32
test-1459.points, 125044, 25
test-146.points, 109581, 19
test-1460.points, 99643, 32
test-1461.points, 123158, 25
test-1462.points, 170170, 37
test-1463.points, 136686, 28
test-1464.points, 103093, 24
test-1465.points, 103871, 26
test-1466.points, 151133, 35
test-1467.points, 138868, 55
test-1468.points, 98875, 13
test-1469.points, 125135, 21
test-147.points, 88372, 33
test-1470.points, 102594, 15
test-1471.points, 82986, 21
test-1472.points, 83711, 11
test-1473.points, 91747, 26
test-1474.points, 118749, 24
test-1475.points, 90274, 28
test-1476.points, 104855, 18
test-1477.points, 95712, 28
test-1478.points, 123871, 21
test-1479.points, 98549, 21
test-148.points, 108196, 22
test-1480.points, 96272, 16
test-1481.points, 89347, 15
test-1482.points, 117141, 60
test-1483.points, 129048, 58
test-1484.points, 97949, 33
test-1485.points, 96198, 20
test-1486.points, 113550, 29
test-1487.points, 116858, 22
test-1488.points, 85674, 17
test-1489.points, 110565, 21
test-149.points, 90351, 14
test-1490.points, 124301, 29
test-1491.points, 117693, 17
test-1492.points, 110977, 22
test-1493.points, 101204, 19
test-1494.points, 97399, 22
test-1495.points, 99044, 15
test-1496.points, 134679, 64
test-1497.points, 111930, 26
test-1498.points, 129035, 22
test-1499.points, 106078, 14
test-15.points, 115235, 38
test-150.points, 84655, 13
test-1500.points, 123479, 24
test-1501.points, 138735, 23
test-1502.points, 102401, 19
test-1503.points, 135626, 62
test-1504.points, 111017, 36
test-1505.points, 104415, 16
test-1506.points, 101150, 28
test-1507.points, 119300, 50
test-1508.points, 101482, 28
test-1509.points, 99293, 21
test-151.points, 118880, 23
test-1510.points, 126998, 27
test-1511.points, 129226, 32
test-1512.points, 95659, 29
test-1513.points, 103790, 19
test-1514.points, 103259, 14
test-1515.points, 91575, 23
test-1516.points, 113571, 21
test-1517.points, 88863, 27
test-1518.points, 125796, 34
test-1519.points, 108859, 13
test-152.points, 100461, 29
test-1520.points, 89787, 19
test-1521.points, 106964, 25
test-1522.points, 160171, 17
test-1523.points, 93412, 11
test-1524.points, 102071, 35
test-1525.points, 114914, 33
test-1526.points, 104070, 19
test-1527.points, 104101, 33
test-1528.points, 123620, 25
test-1529.points, 134962, 32
test-153.points, 95943, 31
test-1530.points, 97850, 15
test-1531.points, 92490, 17
test-1532.points, 114602, 24
test-1533.points, 113005, 48
test-1534.points, 98623, 18
test-1535.points, 97114, 32
test-1536.points, 123424, 19
test-1537.points, 92642, 30
test-1538.points, 92032, 33
test-1539.points, 103324, 17
test-154.points, 113534, 25
test-1540.points, 92268, 24
test-1541.points, 101201, 20
test-1542.points, 122158, 30
test-1543.points, 132233, 35
test-1544.points, 141382, 43
test-1545.points, 111809, 51
test-1546.points, 152316, 27
test-1547.points, 117171, 33
test-1548.points, 128934, 20
test-1549.points, 99455, 34
test-155.points, 93770, 39
test-1550.points, 118583, 38
test-1551.points, 117915, 20
test-1552.points, 110513, 24
test-1553.points, 96816, 23
test-1554.points, 95170, 14
test-1555.points, 104191, 34
test-1556.points, 100629, 18
test-1557.points, 111205, 29
test-1558.points, 117780, 10
test-1559.points, 110229, 21
test-156.points, 119118, 40
test-1560.points, 127656, 33
test-1561.points, 92607, 21
test-1562.points, 89840, 31
test-1563.points, 105185, 16
test-1564.points, 101755, 19
test-1565.points, 123257, 25
test-1566.points, 104657, 39
